State Postal,County Name,TOTAL VOTES CAST,Last name,Votes,Last name,Votes,Ratio Obama/Romney
CT,Salem,2138,Romney,996,Obama,1098,0.9071038251
CT,Salisbury,2243,Romney,659,Obama,1552,0.4246134021
CT,Scotland,835,Romney,415,Obama,408,1.0171568627
CT,Seymour,7186,Romney,3630,Obama,3447,1.0530896432
CT,Sharon,1440,Romney,519,Obama,902,0.5753880266
CT,Shelton,18904,Romney,10327,Obama,8362,1.2349916288
CT,Sherman,2096,Romney,1049,Obama,1020,1.0284313725
CT,Simsbury,13742,Romney,6710,Obama,6853,0.9791332263
CT,Somers,4946,Romney,2837,Obama,2055,1.3805352798
CT,Southbury,10159,Romney,5626,Obama,4424,1.2716998192
CT,Southington,21462,Romney,10452,Obama,10727,0.974363755
CT,South Windsor,13659,Romney,5774,Obama,7708,0.7490918526
CT,Sprague,1399,Romney,655,Obama,724,0.9046961326
CT,Stafford,5624,Romney,2491,Obama,3018,0.8253810471
CT,Stamford,47529,Romney,17473,Obama,29623,0.589845728
CT,Sterling,1399,Romney,711,Obama,655,1.0854961832
CT,Stonington,9649,Romney,3884,Obama,5642,0.6884083658
CT,Stratford,23034,Romney,9324,Obama,13483,0.6915374917
CT,Suffield,7271,Romney,3863,Obama,3332,1.1593637455
CT,Thomaston,3763,Romney,2144,Obama,1556,1.3778920308
CT,Thompson,4050,Romney,1993,Obama,1977,1.0080930703
CT,Tolland,8086,Romney,3840,Obama,4135,0.9286577993
